title,pathway_hint,tier,original_description,note
3D Printing & CAD Design,long-term,A,Learn basic modeling software to design custom plastic parts and print them on a desktop 3D printer.,modern maker mainstay
Map Out a Historic Walking Tour,quick-fix,A,Research local historic landmarks and plot a custom 3-kilometer walking loop on your phone.,free local adventure
Restore Scuffed Leather Boots,quick-fix,A,Apply mink oil or leather conditioner to worn-out boots to waterproof and revive the leather.,best of the 9 polishing clones
Identify Garden Birds,quick-fix,A,Sit by a window or in a park with binoculars and log every bird species you spot in 30 minutes.,"very British, very free"
10-Minute Room Reset,quick-fix,A,Put on an upbeat playlist and power through a rapid decluttering session.,the tidy-dopamine classic
Draft an Online Resale Listing,quick-fix,A,Gather unused clothes or vintage items and draft clear resale listings.,useful + slightly profitable
JetPunk Geography Blitz,quick-fix,A,Test your recall on fast-paced timed trivia and world map quizzes.,"gamified geography, best of 6 drill clones"
Research Local History,quick-fix,A,Look into the historical roots and archival photos of your local area.,rabbit hole with a map
Call or Catch Up with a Friend,quick-fix,A,Reach out for a spontaneous catch-up call or walk.,the social QF the catalog lacks
Quick Garment Mending,quick-fix,A,Grab a needle and thread to repair loose buttons or fallen hems.,"generic, actually useful"
Make a Lemon Posset,quick-fix,A,Whip up a smooth 3-ingredient citrus dessert.,3-ingredient magic
Learn 3 Essential Knots,quick-fix,A,"Grab a piece of string or rope and master the Bowline, Clove Hitch, and Figure-Eight.","QF knots, covers the 5 knot clones"
Identify 5 Constellations,quick-fix,A,Use an astronomy app to map out 5 constellations visible from your window tonight.,"free, outside, wonder"
Origami Crane Folding,quick-fix,A,Grab a square of paper and learn to fold a classic origami crane.,the classic quick make
Stretch Routine,quick-fix,A,Follow a 15-minute full-body mobility and stretching flow on YouTube.,universal
Learn to Moonwalk,quick-fix,A,Put on smooth socks on a hardwood floor and watch tutorials to master the classic dance move.,joy
Plan a Dream Travel Itinerary,quick-fix,A,Pick a country you want to visit and map out a perfect 10-day route including trains and hotels.,pure daydream fuel
Build a Blanket Fort,quick-fix,A,"Gather all the pillows, blankets, and chairs in the house to construct a cozy reading den.",charm
Take a Cold Shower Plunge,quick-fix,A,Turn the shower to freezing cold for exactly 2 minutes to spike your adrenaline and wake up.,the safe cold-exposure version
Write a Local 5-Star Review,quick-fix,A,Think of a small independent business you love and write them a glowing review on Google Maps.,kind + 5 minutes
Bake a Microwave Mug Cake,quick-fix,A,"Mix flour, sugar, cocoa, and milk in a coffee mug and microwave it for a 90-second dessert.",instant win
Try a Guided Meditation,quick-fix,A,Download an app like Headspace or Insight Timer and complete a 10-minute beginner breathing exercise.,calm corner of the catalog
Build and Paint Scale Model Aircraft,long-term,B,"Assemble a plastic model kit of a vintage World War II fighter plane, apply decals, and hand-paint camouflage.",classic patient hobby
Master Olympic Weightlifting Movements,long-term,B,Join a barbell club to learn proper snatch and clean-and-jerk mechanics with technical coaching.,frame as coached — injury risk solo
Build a Custom Mechanical Keyboard from Parts,long-term,B,"Source a PCB, switches, stabilizers, and keycaps to solder and assemble a tailored desktop keyboard.",fix typo: Keyboard
Restore a Vintage Cast Iron Skillet,long-term,B,"Source a rusted antique skillet, strip it down to bare metal via electrolysis or scrubbing, and season it multiple times.",popular restore niche
Build an Arduino Weather Station Sensor Array,long-term,B,"Program microcontrollers and solder temperature, humidity, and pressure sensors to log local meteorological data.",maker/electronics entry
Learn Amateur Competitive Rowing or Sculling,long-term,B,"Join a local boat club on a river to learn proper catch, drive, and recovery blade mechanics.","club sport, great socially"
Run High-Intensity Hill Sprints,long-term,B,Find a steep public incline and perform structured cardiovascular sprinting intervals.,"free, brutal, effective"
Design a Custom Icon Set,long-term,B,"Sketch and vectorize a uniform set of 10 simple icons for weather, travel, or productivity tools.",best of the 5 type/design clones
Practice Hand-Balancing against a Wall,long-term,B,Work on hollow-body posture and straight-arm strength by kicking up against a secure wall.,represents the 10 isometric clones
Outdoor Orienteering Practice,long-term,B,Take a compass and a local topographic map to a public park and find marked control points.,"maps + running, UK club scene"
Practice Stacking Cups (Speed Stacking),long-term,B,Learn the 3-3-3 and 3-6-3 sport stacking sequences to build bilateral hand-eye coordination.,cheap quirky speed sport
Brew Cold Brew Coffee,long-term,B,"Coarsely grind fresh coffee beans, steep them in cold filtered water for 18 hours, and strain the concentrate.",low-effort brewing entry
Study Strategic Military History,long-term,B,Read detailed breakdowns of classic tactical campaigns to analyze leadership and logistical decisions.,reading rabbit hole
Sketch Urban Architecture,long-term,B,"Sit on a bench in town with a sketchbook and draw the rooflines, windows, and brickwork of historic buildings.",outdoor+creative corner is sparse
Hand-Stitch a Felt Wallet,long-term,B,Cut pieces of thick wool felt and use a saddle stitch with waxed thread to build a minimalist cardholder.,cheap leathercraft entry
Build a Cardboard Automata,long-term,B,"Use cardboard, skewers, and hot glue to engineer a mechanical moving toy that animates when cranked.","cardboard engineering, genuinely clever"
Small Engine Repair,long-term,B,Source non-running mowers to diagnose carburetors and spark plugs.,proper workshop skill
Vintage Supercar Market Research,long-term,B,Study mechanical history and market valuations of classic sports cars.,matches your live EV entry DNA
Antiquarian Book Collecting,long-term,B,"Hunt down, verify, and restore vintage first-edition literature.","collector niche, needs budget"
Sport Lockpicking,long-term,B,Buy a clear practice padlock and a pick set to master the mechanics of pin-tumbler locks.,locksport is legal on your own locks — your call
Amateur Radio (HAM),long-term,B,Study for your radio license and build a desktop antenna to communicate globally.,licensed radio hobby
Kite Surfing Basics,long-term,B,Invest in a trainer kite and head to the beach to master wind windows and control.,big-ticket water sport
Glassblowing Class,long-term,B,"Sign up for a local studio session to learn how to gather, shape, and blow molten glass.",one-off taster class
Orchid Cultivation,long-term,B,Research the precise humidity and light requirements to get rare orchids to re-bloom.,patient indoor growing
Historical European Martial Arts,long-term,B,Join a HEMA club to learn authentic longsword or rapier combat from medieval manuscripts.,sword clubs are real and welcoming
Watchmaking & Horology,long-term,B,"Buy a beginner toolkit and learn to disassemble, oil, and reassemble mechanical watch movements.","deep rabbit hole, costly"
Blacksmithing Basics,long-term,B,Find a local forge offering introductory classes to heat and hammer steel into a hook or knife.,taster courses widely available
Stand-up Paddleboarding (SUP),long-term,B,Buy an inflatable board and explore calm local lakes or slow-moving rivers.,accessible water entry
Parkour and Freerunning,long-term,B,"Learn the basics of vaulting, rolling, and wall-running safely in a local park or gymnastics gym.",frame as find-a-class
Restore Vintage Typewriters,long-term,B,Source jammed manual typewriters and use mineral spirits and precise tools to get them typing again.,charming restorer niche
Urban Beekeeping,long-term,B,Set up a hive on a roof or in a garden to harvest your own honey and support local pollination.,real hobby but bees/regs — your call
Scuba Diving Certification,long-term,B,Study for your PADI open water certification and learn to dive safely with a buddy.,certification arc
Draft a Personal Weekly Time-Block Grid,quick-fix,B,"Outline an ideal weekly schedule dividing hours into deep work, maintenance, and recovery.",best of the 4 planner clones
Bake Homemade Rosemary Sea Salt Crackers,quick-fix,B,"Roll out thin dough, top with olive oil and coarse salt, and bake until crisp and golden.",best of the 4 snack-bake clones
Study Historical Cartography,quick-fix,B,Examine high-resolution scans of 17th-century world maps to observe early geographic exploration errors.,best of the 4 map clones
Identify Common Tree Species by Bark,quick-fix,B,"Walk through a local forest and learn to identify oaks, beeches, and birches purely by their bark texture.",best of the 4 tree-ID clones
Study Classic Cinematic Framing,quick-fix,B,Analyze how director of photography choices affect mood in foundational film scenes.,"watch-like-a-critic, covers 4 film clones"
Learn Basic Morse Code Ciphers,quick-fix,B,Practice decoding short audio-generated Morse code messages using pen and paper.,fun signal skill
Repair a Torn Book Spine,quick-fix,B,Use neutral-pH PVA glue and archival tape to carefully secure a loose or detached book spine.,satisfying repair skill
Curate a Vinyl-Style Digital Playlist,quick-fix,B,"Spend an hour sequencing songs by tempo and key to create a seamless, cinematic album listening experience.",one playlist entry is plenty
Map Out a Running Route,quick-fix,B,Use mapping software to design a scenic 5k or 10k running loop avoiding busy main roads.,planning as activity
Practice Left-Handed Writing,quick-fix,B,Try writing diary entries or grocery lists with your non-dominant hand to build fine motor control.,harmless quirk
Analyze a Classic Chess Match,quick-fix,B,Pull up a historic grandmaster game (like the Immortal Game) and step through the moves analytically.,chess QF companion
Upcycle Glass Bottles into Vases,quick-fix,B,"Remove product labels from glass bottles using warm water and oil, then use them for wildflowers.",easy upcycle
Sort Camera Roll & Computer Files,quick-fix,B,Delete duplicate photos and clean up messy downloads.,best of the 11 declutter clones
BBC Radio 4 & Podcasts,quick-fix,B,"Switch on live discussion, or start a new narrative podcast.",barely an activity but honest
Curate a Household GK Quiz,quick-fix,B,"Write 15 engaging trivia questions across history, sport, and pop culture.",make a quiz for the household — social
Translate a Foreign News Article,quick-fix,B,Pick a short news article in a language you are learning and translate it line by line.,distinct from live Spanish entry
Financial Market Summary,quick-fix,B,Read the FT or WSJ and write a 3-bullet summary of the main market driver today.,accessible daily-markets habit
Check Vehicle Fluid Levels,quick-fix,B,"Pop the hood of your car and check the oil, coolant, and screenwash levels.","adulting win, needs a car"
Organize the Spice Drawer,quick-fix,B,"Empty the kitchen drawer, wipe it down, check expirations, and arrange jars alphabetically.",oddly satisfying
Memorize NATO Phonetic Alphabet,quick-fix,B,"Learn Alpha, Bravo, Charlie down to Zulu so you can flawlessly spell things over the phone.",genuinely useful memorize
Full Body Foam Rolling,quick-fix,B,Spend half an hour working out the knots in your legs and back using a foam roller and lacrosse ball.,recovery basic
Tie a Half-Windsor Knot,quick-fix,B,Stand in front of a mirror with a necktie and practice until you can tie a perfect symmetrical knot.,2-minute life skill
