title,pathway_hint,topic,concept
Find the oldest date-stone on your street,quick-fix,observe-and-identify,buildings sign their birthdays
Call the weather an hour ahead from clouds,quick-fix,observe-and-identify,then check your forecast
ID five garden insects,quick-fix,observe-and-identify,"phone lens close-ups, name them all"
Follow the moon phase all week,quick-fix,observe-and-identify,name it each night
Date the houses by their windows,quick-fix,observe-and-identify,Victorian bays to 1930s curves
Follow one bee to see where it goes,quick-fix,observe-and-identify,five minutes of tiny espionage
Three mosses or lichens on one wall,quick-fix,observe-and-identify,the miniature forest underfoot
"Find north four ways, no compass",quick-fix,observe-and-identify,"sun, moss, satellite dishes, stars"
Make a one-street sound map,quick-fix,observe-and-identify,"every distinct sound, noted"
Photograph five hearts hidden in nature,quick-fix,observe-and-identify,shape-hunting walk
Age a hedge by counting species,quick-fix,observe-and-identify,Hooper's rule: one species per century
Narrate ten minutes of street life,quick-fix,observe-and-identify,"nature-documentary voice, window seat"
Find your nearest trig point or benchmark,quick-fix,observe-and-identify,Ordnance Survey treasure hunt
Read one stretch of river,quick-fix,observe-and-identify,"riffles, pools and eddies, named"
Watch a sunset start to finish,quick-fix,observe-and-identify,"phone away, note the colour order"
Take a smell walk,quick-fix,observe-and-identify,catalogue five scents around the block
Voice notes instead of the next three texts,quick-fix,social micro-acts,hear tone again
Write and post a real postcard,quick-fix,social micro-acts,"from your own town, why not"
Text three people one shared memory each,quick-fix,social micro-acts,specific beats 'hope you're well'
Answer the message you've been avoiding,quick-fix,social micro-acts,two honest sentences beats silence
Ring an elder for one story,quick-fix,social micro-acts,'how did you two actually meet?'
Say the compliment out loud,quick-fix,social micro-acts,the one you'd normally just think
Propose a date for the overdue meet-up,quick-fix,social micro-acts,stop saying 'we should' — pick a day
Send someone a two-song playlist,quick-fix,social micro-acts,"tiny, specific, says everything"
Thank an old teacher or coach,quick-fix,social micro-acts,the message they'll keep
Learn one neighbour's name properly,quick-fix,social micro-acts,and use it next time
Start a photo-a-day thread with a friend,quick-fix,social micro-acts,"one picture, no caption rules"
Open a move-a-day game with a mate,quick-fix,social micro-acts,"chess or word game, slow burn"
Record ten minutes of family history,quick-fix,social micro-acts,"interview a parent, save the file"
Do someone's small errand secretly,quick-fix,social micro-acts,"bins in, parcel taken, say nothing"
Draft your best mate's wedding toast,quick-fix,social micro-acts,"ready years early, updated forever"
Leave a loved book in public with a note,quick-fix,social micro-acts,'this is good — pass it on'
Recommend a small business to three people,quick-fix,social micro-acts,who'd actually use it
Set up the group photo dump,quick-fix,social micro-acts,the trip pictures everyone forgot
Get taught a party trick over video,quick-fix,social micro-acts,"a friend's trick, your homework"
Learn the barista's name,quick-fix,social micro-acts,and use it tomorrow
Send the oldest photo of you two,quick-fix,social micro-acts,meme archaeology as affection
Surprise walk-and-talk pickup,quick-fix,social micro-acts,"meet them off the bus, walk them home"
Tell one person one appreciated thing,quick-fix,social micro-acts,"unprompted, today"
Start the street book-swap conversation,quick-fix,social micro-acts,"a box, a shelf, a message"
Message the dead group chat's best member,quick-fix,social micro-acts,"directly, one to one"
Zero-admin plans,quick-fix,social micro-acts,"'walk, my street, 6pm?' — send it"
De-bobble the favourite jumper,quick-fix,repair-and-restore,fabric comb or careful razor
Re-glue the wobbly chair,quick-fix,repair-and-restore,clamp it with books overnight
Descale the kettle,quick-fix,repair-and-restore,"vinegar in, magic out"
Unstick a zip with pencil graphite,quick-fix,repair-and-restore,the ancient trick that works
Re-thread a hoodie's lost drawcord,quick-fix,repair-and-restore,"safety pin, patience, victory"
Patch a bike inner tube,quick-fix,repair-and-restore,find the hiss in a bowl of water
Sharpen the secateurs,quick-fix,repair-and-restore,the garden's whole mood improves
Oil every squeaky hinge,quick-fix,repair-and-restore,one lap of the house with a can
Home-dip tarnished jewellery,quick-fix,repair-and-restore,"foil, bicarb, hot water"
Wax the sticking drawer,quick-fix,repair-and-restore,candle stub on the runners
Revive the flat cushions,quick-fix,repair-and-restore,"wash, whack, sun"
Restore a chopping board,quick-fix,repair-and-restore,"scrape, sand lightly, oil"
Re-pot the struggling plant,quick-fix,repair-and-restore,"fresh compost, bigger home, feed"
Bring trainers back to box-fresh,quick-fix,repair-and-restore,"brush, paste, laces washed"
Rewire a lamp plug,quick-fix,repair-and-restore,"proper UK life skill, fuse and all"
Bleed the radiators,quick-fix,repair-and-restore,"key, cloth, hiss, warmth"
Draught-proof one window,quick-fix,repair-and-restore,seal strip before winter
Fix the dripping tap washer,quick-fix,repair-and-restore,"watch a video first, isolate the water"
Deep-clean the keyboard,quick-fix,repair-and-restore,keys deserve better than crumbs
Stitch a fraying blanket edge,quick-fix,repair-and-restore,"blanket stitch, appropriately"
Re-grip a racket or bat,quick-fix,repair-and-restore,"fresh tape, new-kit feeling"
Scrub and oil the garden furniture,quick-fix,repair-and-restore,one bench back from the grey
Patch an airbed properly,quick-fix,repair-and-restore,"kit patch, not gaffer hope"
Refresh the grout with a pen,quick-fix,repair-and-restore,weirdly transformative hour
A paper plane that actually flies,quick-fix,make-something-small,"fold, test, trim, repeat"
Weave a paracord bracelet,quick-fix,make-something-small,"cobra knot, survival chic"
A bookmark from an old map or ticket,quick-fix,make-something-small,laminate with tape
Draw your day as a six-panel comic,quick-fix,make-something-small,stick figures fully allowed
Make a pom-pom with a fork,quick-fix,make-something-small,"then a second, then a garland"
Carve a stamp from an eraser,quick-fix,make-something-small,lino-cutting's gentle cousin
A matchbox diorama,quick-fix,make-something-small,"an entire tiny world, thumb-sized"
Blackout poetry from a newspaper page,quick-fix,make-something-small,marker pen reveals the poem
A friendship bracelet like it's 1997,quick-fix,make-something-small,knots you'll suddenly remember
Fold an origami box you'll use,quick-fix,make-something-small,desk tidy from one square
Roll seed bombs from paper scraps,quick-fix,make-something-small,guerrilla gardening ammunition
Paint one rock properly,quick-fix,make-something-small,then re-home it somewhere public
A paper fortune teller with real fortunes,quick-fix,make-something-small,"the good ones, be kind"
A 30-second film of one object,quick-fix,make-something-small,"shoot, cut, soundtrack, done"
Seal a letter with crayon wax,quick-fix,make-something-small,"spoon, flame, button as a stamp"
Design your monogram on paper,quick-fix,make-something-small,initials worth doodling
A sticky-note flip-book,quick-fix,make-something-small,20 frames of something bouncing
"Leaf-rubbing prints, framed",quick-fix,make-something-small,crayon over paper over leaf
Pour a candle from old candle ends,quick-fix,make-something-small,"new wick, rescued wax"
Fold an envelope from A4,quick-fix,make-something-small,then send something in it
A tiny air-dry clay creature,quick-fix,make-something-small,"ghost, cat, or unnamed blob"
A paper snowflake garland,quick-fix,make-something-small,"scissors, symmetry, string"
Sketch one window's view in 15 minutes,quick-fix,make-something-small,any standard counts
Curate a tiny museum of five objects,quick-fix,make-something-small,with handwritten labels
Top-Trumps cards of your friends,quick-fix,make-something-small,"stats: punctuality, chaos, snacks"
An endless-fold infinity card,quick-fix,make-something-small,the fold trick that loops forever
A simmer-pot scent jar,quick-fix,make-something-small,"citrus peel, cinnamon, low heat"
Make a thaumatrope,quick-fix,make-something-small,the Victorian spinning illusion toy
Decorate matchboxes into a mini drawer set,quick-fix,make-something-small,"stack, glue, tiny handles"
Press today's leaf for future you,quick-fix,make-something-small,"heavy book, note the date"
Design the ideal ordinary Tuesday,quick-fix,plan-and-dream,"hour by hour, actually plausible"
Fantasy dinner party: menu and guests,quick-fix,plan-and-dream,"any era, any people, seating plan"
Plan a one-bus-ride micro-adventure,quick-fix,plan-and-dream,somewhere new inside an hour's reach
The someday-business on one page,quick-fix,plan-and-dream,"name, customer, first product"
Write a 30-day tiny-challenge card,quick-fix,plan-and-dream,"one small thing, daily, tickable"
Plan next year's garden on paper,quick-fix,plan-and-dream,even without the garden yet
"Rank your top ten films, definitively",quick-fix,plan-and-dream,arguments with yourself allowed
Choose your Desert Island Discs,quick-fix,plan-and-dream,"eight records, one book, one luxury"
Plan the perfect £20 day out,quick-fix,plan-and-dream,"itemised, honest, brilliant"
Map where all your people are,quick-fix,plan-and-dream,pins on a world map
Pick one skill for the next 100 days,quick-fix,plan-and-dream,and sketch the first week
"A letter to yourself, sealed for a year",quick-fix,plan-and-dream,hide it in December's coat
Programme a themed trilogy night,quick-fix,plan-and-dream,snacks matched to each film
Draft the ultimate pub-quiz team,quick-fix,plan-and-dream,"specialists named, team name settled"
Sketch the dream shed or studio,quick-fix,plan-and-dream,"graph paper, every corner used"
Plan a free heritage day,quick-fix,plan-and-dream,"three local sites, one walking route"
Write the 'free Saturday' menu,quick-fix,plan-and-dream,your personal boredom antidote list
Draft the family cookbook contents,quick-fix,plan-and-dream,"which dishes, who holds each recipe"
Design a no-spend weekend worth having,quick-fix,plan-and-dream,"zero pounds, full schedule"
Storyboard last year's photo album,quick-fix,plan-and-dream,pick the 40 that tell it
Choose your signature dish,quick-fix,plan-and-dream,and plan its path to mastery
Build the packing-list template,quick-fix,plan-and-dream,never re-think toothbrushes again
Invent a personal annual holiday,quick-fix,plan-and-dream,"name, date, traditions, menu"
List 25 completely free bucket-list items,quick-fix,plan-and-dream,adventure without the invoice
"One whole album, nothing else",quick-fix,calm-and-recover,"sleeve notes optional, phone away"
A phone-stays-home walk,quick-fix,calm-and-recover,one block is enough
Ten-minute floor body-scan,quick-fix,calm-and-recover,"carpet, breath, toes to head"
The full tea ritual,quick-fix,calm-and-recover,"pot, tray, biscuit, no rush"
Five minutes of box breathing,quick-fix,calm-and-recover,"in four, hold four, out four, hold four"
Watch the weather from the window,quick-fix,calm-and-recover,"hands round a mug, nowhere to be"
Legs up the wall for ten minutes,quick-fix,calm-and-recover,the reset that costs nothing
Run the full-works bath,quick-fix,calm-and-recover,the one you never bother with
Sit like a visitor in your own home,quick-fix,calm-and-recover,"different chair, fresh eyes"
One page of slow colouring,quick-fix,calm-and-recover,"lines optional, pressure none"
Progressive muscle relaxation,quick-fix,calm-and-recover,"tense and release, head to toe"
A proper 20-minute nap,quick-fix,calm-and-recover,"alarm set, guilt cancelled"
Three-line day log,quick-fix,calm-and-recover,"weather, mood, one good thing"
Two minutes of humming-bee breath,quick-fix,calm-and-recover,"odd, ancient, effective"
Watch a candle for five minutes,quick-fix,calm-and-recover,"fire-gazing, the original screen"
The 5-4-3-2-1 grounding round,quick-fix,calm-and-recover,"five seen, four felt, three heard…"
One full cuppa outside,quick-fix,calm-and-recover,coat on if needed
A five-minute hand massage,quick-fix,calm-and-recover,"any cream, both hands"
One slow-radio episode,quick-fix,calm-and-recover,"sound of walking, rain, rowing"
Ten minutes of cloud-watching,quick-fix,calm-and-recover,"flat on grass, naming shapes"
Neck and shoulder release routine,quick-fix,calm-and-recover,the desk antidote
"One loud song, sung fully",quick-fix,calm-and-recover,"kitchen or car, no witnesses"
Water the plants like it's the whole job,quick-fix,calm-and-recover,"slowly, checking each one"
A digital sunset,quick-fix,calm-and-recover,screens off 30 minutes before bed
Beginner pottery on the wheel,long-term,crafts & making,"a course, clay under the nails"
"Hand-quilting, one square at a time",long-term,crafts & making,a blanket measured in evenings
Take up knitting,long-term,crafts & making,"scarf first, always"
Crochet amigurumi creatures,long-term,crafts & making,small monsters from one hook
Kitchen-table linocut printing,long-term,crafts & making,"carve, ink, press, edition of five"
Stained-glass suncatchers,long-term,crafts & making,"copper-foil method, small panels first"
Watercolour skies,long-term,crafts & making,"stop fearing the water, chase the light"
Dip-pen calligraphy,long-term,crafts & making,"nibs, ink, and very patient alphabets"
Carve your own walking stick,long-term,crafts & making,"green wood, slow evenings"
Rescue one chair with basic upholstery,long-term,crafts & making,"strip, pad, staple, admire"
Candle-making with blended scents,long-term,crafts & making,wax science meets perfume
Melt-and-pour soap making,long-term,crafts & making,then cold-process when brave
Learn picture framing,long-term,crafts & making,frame your own walls for less
Mosaic a stepping stone,long-term,crafts & making,broken tiles into garden art
Build a bird box to spec,long-term,crafts & making,"right hole size, right height, patience"
"Hand-tool joinery: one box, three joints",long-term,crafts & making,"saw, chisel, no screws"
Make paper from scraps,long-term,crafts & making,"mould, deckle, botanical inclusions"
Macramé plant hangers,long-term,crafts & making,knots that hold actual plants
Kintsugi-style ceramic repair,long-term,crafts & making,golden seams on broken favourites
Sashiko visible mending,long-term,crafts & making,"denim repaired beautifully, on purpose"
The five mother sauces in a month,long-term,"food, drink & fermenting","béchamel to hollandaise, mastered"
Cure your own gravlax or bacon,long-term,"food, drink & fermenting","salt, time, food-safety respected"
Fresh cheeses at home,long-term,"food, drink & fermenting","paneer, ricotta, labneh — no cave needed"
First small-batch beer kit,long-term,"food, drink & fermenting","sterilise everything, then patience"
Knife skills to speed-chef level,long-term,"food, drink & fermenting","claw grip, rock chop, whole veg box"
Blend a house chai or tea masala,long-term,"food, drink & fermenting","toast, grind, adjust, name it"
Hand-pulled noodles or fresh ramen,long-term,"food, drink & fermenting","flour, water, and forearm strength"
"Master the Sunday roast, element by element",long-term,"food, drink & fermenting","potatoes first, gravy last"
Sushi rolling at home,long-term,"food, drink & fermenting",rice seasoning is the real secret
Ferment your own hot sauce,long-term,"food, drink & fermenting","mash, brine, wait, bottle, warn friends"
Seasonal jam and marmalade,long-term,"food, drink & fermenting","Seville oranges in January, sterile jars"
Real boiled-then-baked bagels,long-term,"food, drink & fermenting",the chew is non-negotiable
An Indian home-cooking arc,long-term,"food, drink & fermenting","dal to biryani, spice tin built up"
Pastry from shortcrust to rough puff,long-term,"food, drink & fermenting","cold hands, cold butter, confidence"
The Friday pizza-dough ritual,long-term,"food, drink & fermenting","same dough weekly, better every time"
Chillies from seed on a windowsill,long-term,growing things,"January seeds, August heat"
A balcony salad bar in containers,long-term,growing things,cut-and-come-again leaves
Propagate and trade houseplant cuttings,long-term,growing things,"free plants, growing network"
Oyster mushrooms from a kit,long-term,growing things,then from coffee grounds when hooked
Start a compost bin or wormery,long-term,growing things,kitchen waste becomes black gold
Grow a wildflower patch for pollinators,long-term,growing things,one square metre of meadow
Proper rose care and pruning,long-term,growing things,the February cuts that scare beginners
Giant vegetables for the village show,long-term,growing things,"one marrow, total commitment"
Build a kitchen herb garden,long-term,growing things,snip-distance from the chopping board
"Grow dahlias, lift and divide",long-term,growing things,"late-summer fireworks, tubers stored"
A sealed terrarium ecosystem,long-term,growing things,a jar world that waters itself
Grow a tree from a seed,long-term,growing things,"acorn or conker, a decades project"
"Couch-to-5K, the whole arc",long-term,sport & training arcs,nine weeks from sofa to finisher
Fix your swimming stroke with lessons,long-term,sport & training arcs,adult improvers welcome everywhere
Join parkrun and chase a PB,long-term,sport & training arcs,"free, weekly, weirdly emotional"
Badminton at a local club,long-term,sport & training arcs,Britain's most played racket sport
Table-tennis spin serves at a club,long-term,sport & training arcs,from garage player to leaguer
BJJ or judo fundamentals,long-term,sport & training arcs,grappling from absolute zero
Learn archery at a club,long-term,sport & training arcs,"beginners' courses, then your own kit"
Take up bowls,long-term,sport & training arcs,lawn or crown green — secretly brilliant
"Skateboard: push, carve, ollie",long-term,sport & training arcs,"pads on, ego off"
Road running to trail running,long-term,sport & training arcs,"mud, hills, and no more pavements"
Train for a sprint triathlon,long-term,sport & training arcs,"three sports, one medal"
Golf on a pitch-and-putt budget,long-term,sport & training arcs,"short course first, honest scorecard"
Join a social five-a-side or netball league,long-term,sport & training arcs,the fitness that feels like Tuesday plans
Fencing basics,long-term,sport & training arcs,"footwork, blade, mask — en garde"
Squash at the leisure centre,long-term,sport & training arcs,the best cardio disguised as a game
Work toward a hill-skills award,long-term,sport & training arcs,"navigation, weather, emergency know-how"
Learn to ice skate properly,long-term,sport & training arcs,"local rink, forward crossovers by spring"
Padel tennis,long-term,sport & training arcs,"the boom sport — easy to start, hard to stop"
Learn Go from a 9x9 board,long-term,strategy & mind games,"ancient, deep, humbling"
Bridge with a local club,long-term,strategy & mind games,the card game with a social life
"Solve, then set, cryptic crosswords",long-term,strategy & mind games,learn the setter's tricks from inside
Poker theory with play-money discipline,long-term,strategy & mind games,"odds and reads, stakes imaginary"
Speedcubing,long-term,strategy & mind games,"solve the cube, then race yourself"
Backgammon with the doubling cube,long-term,strategy & mind games,luck managed by maths
Miniature wargaming,long-term,strategy & mind games,"paint the army, then command it"
Memory-palace training,long-term,strategy & mind games,"learn the technique, memorise a deck"
Scrabble theory,long-term,strategy & mind games,two-letter words are the dark arts
Design escape-room puzzles for friends,long-term,strategy & mind games,"be the villain, kindly"
Logic-grid and KenKen setting,long-term,strategy & mind games,"solve them, then build them"
Join a quiz league,long-term,strategy & mind games,pub quizzing with a fixture list
Coin collecting from pocket change,long-term,collecting & culture,numismatics starts in your pocket
Fossil hunting on UK coasts,long-term,collecting & culture,Jurassic beaches give up ammonites
"Metal detecting, done properly",long-term,collecting & culture,"permissions, a club, and patience"
Vinyl collecting and hi-fi care,long-term,collecting & culture,crate-digging with intent
Stamp collecting with a theme,long-term,collecting & culture,"one country or one subject, deep"
Whisky or wine appreciation,long-term,collecting & culture,"tasting journal, regions, restraint"
Trace the family tree past 1900,long-term,collecting & culture,"censuses, certificates, surprises"
Churchyard and monument recording,long-term,collecting & culture,"local history in stone, documented"
Birdwatching with a life list,long-term,collecting & culture,from garden robin to first rarity
Adopt a local museum,long-term,collecting & culture,"every room, properly, over a season"
Postcard collecting,long-term,collecting & culture,deltiology — history at postcard scale
Learn heraldry and design your arms,long-term,collecting & culture,then blazon it correctly
Follow non-league football,long-term,collecting & culture,"groundhopping, real pies, real tables"
Beachcombing and sea glass,long-term,collecting & culture,"tideline treasure, displayed in jars"
The National Trust completionist project,long-term,collecting & culture,"a map, a membership, a mission"
Build a retro-gaming console,long-term,tech & maker,a Raspberry Pi and every childhood game
Learn PCB soldering on a kit,long-term,tech & maker,"a synth or radio, built joint by joint"
"Home automation, sensor by sensor",long-term,tech & maker,"lights, heating, routines"
CAD by fixing your own house,long-term,tech & maker,design three real replacement parts
Video editing properly,long-term,tech & maker,"free software, real projects"
Record and ship six podcast episodes,long-term,tech & maker,"idea, mic, edit, publish"
Make one tiny game in Godot,long-term,tech & maker,finished and playable beats ambitious
3D scanning and photogrammetry,long-term,tech & maker,turn objects into models with a phone
Restore a vintage radio or deck,long-term,tech & maker,"capacitors, patience, warm glow"
Resurrect an old laptop with Linux,long-term,tech & maker,"the machine and the skill, both revived"
Pixel art and animation,long-term,tech & maker,"tiny canvases, big charm"
Generative art with code,long-term,tech & maker,p5.js sketches that surprise you
Blender basics: model your own room,long-term,tech & maker,then light it like a film
An e-bike conversion project,long-term,tech & maker,"kit motor, legal limits, big grin"
Build a home server for your photos,long-term,tech & maker,"self-hosting, one service at a time"
Piano from scratch as an adult,long-term,music & performance,"scales forgiven, songs early"
Harmonica,long-term,music & performance,"pocket blues, learn to bend"
Learn to DJ on free software,long-term,music & performance,beatmatching before buttons
Write and demo five songs,long-term,music & performance,phone recordings count
Music production: one finished track,long-term,music & performance,finished being the operative word
Join amateur dramatics,long-term,music & performance,auditions are friendlier than feared
Write five minutes of stand-up,long-term,music & performance,then find the open mic
Beatboxing fundamentals,long-term,music & performance,boots and cats and boots and cats
"Singing lessons, solo",long-term,music & performance,"your actual voice, trained"
"Ukulele, properly",long-term,music & performance,beyond three chords into fingerpicking
Drums on a practice pad,long-term,music & performance,"rudiments first, kit later"
